test, rrt iteration, number of waypoints, distance to goal, number of waypoints opti, distance to goal opti
1,868,27,1765.13,19,1423.04
1,869,27,1765.13,19,1423.04
1,870,27,1765.13,19,1423.04
1,871,27,1765.13,18,1423.04
1,872,27,1765.13,18,1398.41
1,873,27,1765.13,18,1398.41
1,874,27,1765.13,18,1398.41
1,875,27,1765.13,18,1398.41
1,876,27,1765.13,18,1398.41
1,877,27,1765.13,18,1398.41
1,878,27,1765.13,18,1398.41
1,879,27,1765.13,18,1398.41
1,880,27,1765.08,18,1398.41
1,881,27,1765.08,18,1398.41
1,882,27,1765.08,19,1398.41
1,883,27,1765.08,19,1398.41
1,884,27,1765.08,19,1398.41
1,885,27,1765.08,19,1396.2
1,886,27,1765.08,19,1396.2
1,887,27,1765.08,19,1396.2
1,888,27,1765.08,19,1396.2
1,889,27,1765.08,19,1394.61
1,890,27,1765.08,20,1394.61
1,891,27,1765.08,20,1394.61
1,892,27,1765.08,20,1394.61
1,893,27,1765.08,20,1394.61
1,894,27,1765.08,20,1394.61
1,895,27,1765.08,20,1394.61
1,896,27,1765.08,20,1394.61
1,897,27,1765.08,20,1394.61
1,898,27,1765.08,20,1394.61
1,899,27,1765.08,20,1394.61
1,900,27,1765.08,20,1394.61
1,901,27,1765.08,20,1394.61
1,902,27,1765.08,20,1394.61
1,903,27,1765.08,20,1394.61
1,904,27,1765.08,19,1394.61
1,905,27,1765.08,19,1394.61
1,906,27,1765.08,19,1394.61
1,907,27,1765.08,19,1394.61
1,908,27,1765.08,19,1394.61
1,909,27,1765.08,19,1394.61
1,910,27,1765.08,19,1394.61
1,911,27,1765.08,19,1394.61
1,912,27,1765.08,19,1394.61
1,913,27,1765.08,19,1394.61
1,914,27,1765.08,19,1394.61
1,915,27,1765.08,19,1394.61
1,916,27,1765.08,19,1394.61
1,917,27,1765.08,19,1394.61
1,918,27,1765.08,19,1394.61
1,919,27,1765.08,19,1394.61
1,920,27,1765.08,19,1394.61
1,921,27,1765.08,19,1394.61
1,922,27,1765.08,19,1394.61
